Player_ID,SEASON_ID,full_name,games_played,all_nba,FG_PCT,FG3_PCT,OREB,DREB,AST,STL,BLK,TOV,PTS,PLUS_MINUS
203078,22023,Bradley Beal,45,0,0.6363157122493064,0.851196504127072,0.16809933142311365,0.2707637655417407,0.4505070972508046,0.4213991769547325,0.14353825984958257,0.6267673038532009,0.49422911283376403,0.6026733310613807
203081,22023,Damian Lillard,68,0,0.4660564827347382,0.7830048472187653,0.08314395810690643,0.33787483021627834,0.6303978992261776,0.4444444444444444,0.07769826001193274,0.6314516946330586,0.6981304149566804,0.8215163948119292
203083,22023,Andre Drummond,75,0,0.7257917862728348,0.0,0.6933662681553207,0.5161160449970397,0.02448883963906918,0.38913580246913576,0.24778720761747053,0.24679629173845266,0.20289405684754525,0.5312234465523118
203084,22023,Harrison Barnes,74,0,0.5425313525024048,0.746504689471326,0.14809053693551272,0.16163410301953818,0.0877434978115681,0.2552552552552552,0.04756583327272626,0.16733075679666867,0.33165723863398283,0.4379879709312858
203109,22023,Jae Crowder,42,0,0.47074176597651096,0.6830998127210931,0.09354665688031957,0.21969043390002535,0.10456591058142428,0.345679012345679,0.055112813082177595,0.09979724107216106,0.1406423034330011,0.44024764284902884
203110,22023,Draymond Green,48,0,0.5692724816708151,0.6660821426094194,0.27884472878174094,0.5454706927175844,0.5407630204210859,0.4012345679012345,0.3430772614365556,0.6132578554434326,0.2189922480620155,0.6773543110303306
203114,22023,Khris Middleton,49,0,0.5852027758495657,0.8363340897155144,0.12103950363862567,0.33771704063508173,0.46307760400345027,0.38095238095238093,0.11352489660736993,0.5325058893850426,0.40515741180193005,0.6886451047532498
203200,22023,Justin Holiday,47,0,0.34559806296010875,0.5803520961512635,0.011099735750609116,0.046143380824609795,0.08131991013779097,0.2679275019700551,0.04768626380160049,0.04390948937217547,0.07306613887514433,0.5593499314788721
203468,22023,CJ McCollum,58,0,0.5148767353825063,0.8696737328776133,0.08314395810690643,0.32225148526979847,0.39591578280829504,0.42656449553001274,0.25250537120179306,0.3811944630687363,0.5316760224538893,0.6961165276727762
203471,22023,Dennis Schroder,75,0,0.47512204218815557,0.7858139696191995,0.07003655765240589,0.18804499703966843,0.5374411904384991,0.3476543209876543,0.07465949078865661,0.47546148166379515,0.3814987080103359,0.4127093036464842
203482,22023,Kelly Olynyk,72,0,0.6843196389442728,0.7257577859471457,0.27125942759279387,0.3227550819025064,0.39591578280829504,0.41563786008230447,0.14237476712895883,0.47460825334317824,0.2360034453057709,0.32757298648188127
203484,22023,Kentavious Caldwell-Pope,69,0,0.5166804025701228,0.8294148514284163,0.06573074494271489,0.14458259325044404,0.20446552092008452,0.6247987117552335,0.20990793156516344,0.23997046517351708,0.25626334119761823,0.9188912870612291
203488,22023,Mike Muscala,46,0,0.27483232804175284,0.4502361342738494,0.13538359759948104,0.11258012201714417,0.04727477958029058,0.027375201288244763,0.09457039230333085,0.08972808697792378,0.04617458712504213,0.4195160740656595
203497,22023,Rudy Gobert,67,0,0.9295810549884628,0.0,0.7923130125481671,0.8931947721428383,0.09774666323283061,0.25096738529574353,0.8792824327956575,0.3660445006079619,0.37197732268888123,0.8489863530241557
203501,22023,Tim Hardaway Jr.,71,0,0.3907641523520101,0.7445347677380086,0.03852956688853604,0.25269556950941885,0.13935256305921645,0.20344287949921747,0.0206996481059822,0.21112894447660613,0.4152200021836445,0.5590539716773892
203507,22023,Giannis Antetokounmpo,68,1,0.8381724228580062,0.5218425755541863,0.5457580917951609,0.8605370389718943,0.5772304425965414,0.5664488017429193,0.4103202966137811,0.8648347352724008,0.9001367989056088,0.7714900000668222
203552,22023,Seth Curry,44,0,0.2304372875443007,0.516386116138145,0.06328426044857229,0.05377038591958663,0.0714579705556435,0.18518518518518517,0.0424201652208276,0.10616875125858635,0.10500352360817479,0.5896491898423059
203903,22023,Jordan Clarkson,55,0,0.4022070155509164,0.5633519771481899,0.1685406580377433,0.20002583562086224,0.4456378891015585,0.2558922558922559,0.030996782145612616,0.6634819770433849,0.4768146582100071,0.3267832247271076
203914,22023,Gary Harris,47,0,0.5451655052382635,0.851654149430563,0.07152392224298751,0.057329654963909155,0.12076766846638082,0.3672182821118991,0.10115741862175578,0.13104770083943842,0.16608939468909784,0.5932044443262815
203915,22023,Spencer Dinwiddie,68,0,0.3430391623215363,0.6729555386002635,0.06708096735384203,0.1786020269564309,0.4395403626069709,0.2766884531590414,0.09001759470089009,0.29643410403787407,0.26949384404924764,0.547984978383038
203924,22023,Jerami Grant,54,0,0.5018145692842547,0.8531710249473998,0.12359889778129082,0.23415564765475955,0.23969535468664802,0.35802469135802467,0.2490282665194692,0.5338602200526886,0.5957507895492391,0.15966779002107878
203926,22023,Doug McDermott,57,0,0.32863509566268057,0.7365482270565085,0.008408780076859475,0.02098407653236109,0.0828424551960874,0.044184535412605586,0.0,0.10075952865180424,0.11274309805521555,0.34983289189690125
203932,22023,Aaron Gordon,68,0,0.7608857031663786,0.4578051238529676,0.5007817176865805,0.3672552502350851,0.2923074057864399,0.32244008714596945,0.23784961096837826,0.3641904706751024,0.3739170086639307,0.8199026401427322
203937,22023,Kyle Anderson,70,0,0.6026043993503446,0.21327946174654921,0.14868096037940917,0.22569906115199184,0.37207806598973286,0.37037037037037035,0.21866664695271612,0.28750747160789,0.14817275747508307,0.6450869021924345
203939,22023,Dwight Powell,58,0,0.5151117424641407,0.03767104448053423,0.29030114919815064,0.12282721871746187,0.10182594313101484,0.13154533844189017,0.12251515000107067,0.11198621708097464,0.051590483827853514,0.5712453043045671
203944,22023,Julius Randle,46,0,0.5429111826487832,0.7001720493016999,0.44407237641924024,0.6749092594022704,0.44025163292977537,0.2077294685990338,0.09457039230333085,0.8687626405847038,0.6885743174924166,0.7797341815290243
203957,22023,Dante Exum,48,0,0.6454161749720425,0.8676865852812651,0.0694904159668017,0.15334517465956188,0.23948076618648093,0.15277777777777776,0.02893422686814325,0.1973090491426696,0.2009043927648579,0.7207912075428832
203967,22023,Dario Saric,62,0,0.44230394941713547,0.6658721670429398,0.22408374794024563,0.2836532401306366,0.19107375387459338,0.17682198327359616,0.04610512750315504,0.28951275475772703,0.19729932483120782,0.49785447043346664
203991,22023,Clint Capela,66,0,0.7558129134314909,0.0,1.0000000000000002,0.5492545346897034,0.08971750111531654,0.22446689113355783,0.6199356429122523,0.23221384407699935,0.29856706600892646,0.4865644976402673
203992,22023,Bogdan Bogdanovic,71,0,0.4791287064516341,0.8373477320885847,0.12775834932527683,0.2289995747129312,0.26600209138318903,0.5685967657798643,0.10329124404885118,0.33010021735136386,0.4711213014521235,0.650242474956521
203994,22023,Jusuf Nurkic,69,0,0.6519685786831922,0.27653494817410607,0.6102894111683413,0.7693927459005843,0.32538147579684906,0.4219001610305958,0.4223718196790655,0.5627133516677545,0.29266374564655656,0.7805293649892083
203999,22023,Nikola Jokic,72,1,0.809400293008622,0.723724595963099,0.5928761980041498,0.9259127688967831,0.815650889135138,0.595679012345679,0.35762092044435245,0.730576749528263,0.756244616709733,0.9737920784581016
204001,22023,Kristaps Porzingis,52,0,0.6404389531034527,0.7897647542164431,0.34361153124121213,0.4863232682060391,0.15881199693135736,0.28490028490028485,0.7666333614636244,0.3974895397489539,0.5730471079308288,0.9372722585831754
204060,22023,Joe Ingles,60,0,0.35701128783525804,0.7610078379690642,0.03945262325857128,0.12004736530491415,0.25531739749881266,0.254320987654321,0.013227075139722627,0.22290589876117808,0.082687338501292,0.659065091446098
204456,22023,T.J. McConnell,63,0,0.6823376659547745,0.32947215093292637,0.08487774123580862,0.16127322450590653,0.4687532508650127,0.4691358024691358,0.03184295866970262,0.3781121932734042,0.24301710348221978,0.5443220114354955
1626145,22023,Tyus Jones,66,0,0.5713303196551268,0.7968008096502234,0.04011461318051576,0.18759890198611334,0.6599766862866435,0.48372615039281697,0.09953708059690257,0.23997046517351708,0.31688982851773545,0.10498487086014069
1626156,22023,D'Angelo Russell,69,0,0.5183736212949422,0.8349879821828697,0.06256470618558915,0.21620717172497228,0.56855689616012,0.3993558776167471,0.18562634435214603,0.5070680264101274,0.5056735198292327,0.6119504714301943
1626157,22023,Karl-Anthony Towns,60,0,0.6358505474385157,0.9371124367066657,0.3052415769192768,0.6580698638247484,0.25531739749881266,0.29753086419753083,0.2645415027944525,0.7049798999097546,0.6320413436692507,0.8300692945586733
1626162,22023,Kelly Oubre Jr.,61,0,0.48405448340880086,0.5839468887481423,0.2819037190972835,0.29799959234778556,0.11097039734050973,0.5209471766848816,0.2530973120997927,0.2945211282949286,0.41186936078281866,0.44896393368132703
1626164,22023,Devin Booker,60,1,0.5858399213853709,0.7791426787819935,0.15232190495010375,0.34962699822380106,0.6168561025803387,0.3753086419753086,0.16680811426205758,0.6281893510542291,0.7819121447028423,0.7514256503464729
